ProviderID,MORT_30_AMI,MORT_30_HF,MORT_30_PN,PSI_90_SAFETY,IMM_2,PN_6,SCIP_CARD_2,SCIP_INF_2,SCIP_INF_3,SCIP_INF_9,SCIP_VTE_2,AMI_7A,HAI1,HAI2,HAI3,HAI4,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_3_A_P,H_COMP_4_A_P,H_COMP_5_A_P,H_COMP_7_A,H_COMP_7_SA,H_QUIET_HSP_A_P,H_CLEAN_QUIET,H_COMP_7,MSPB_1,HospitalName,Address,City,State,ZIPCode,CountyName,PhoneNumber,HospitalType,HospitalOwnership,EmergencyServices
1014,0.939,0.98,0.95,0,0,0.91,0.91,0.99,0.95,0.93,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1019,0,0.963,0.93,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
1021,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
3012,0.97,0.946,0.953,0,0,0.99,0.99,0.99,0.98,1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,6022226444,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
3013,0.964,0.945,0.943,0,0,0.94,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,5206291821,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
3033,0,0.944,0.947,0,0.51,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,9284454860,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
4009,0.944,0.939,0.963,0,0,0.96,0,0.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,4794445058,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
4010,0.949,0.963,0.962,0,0,0.94,1,1,0.96,0.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,5012571000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5025,0.956,0.941,0.917,0,0,0.97,0.93,0.79,0.78,0.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRESNO VA MEDICAL CENTER - VA CENTRAL CALIFORNIA,2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,5592285338,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5027,0.95,0.971,0.955,0,0,0.98,1,0.99,0.99,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,5628268000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5030,0.956,0.961,0.954,0,0,0.94,0.98,0.98,0.96,0.98,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,8003828387,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5031,0.961,0.958,0.962,0,0,0.98,0.95,0.98,0.99,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,6508583939,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5114,0.981,0.977,0.976,0,0,1,0.99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,8585528585,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5127,0.958,0.934,0.96,0,0,0.98,1,0.99,0.98,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,9098257084,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5128,0.979,0.995,0.939,0,0,0.93,0.95,1,0.97,1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,WEST LOS ANGELES,CA,90073,LOS ANGELES,3104783711,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
5130,0.951,0.959,0.981,0,0,0.94,0.99,1,0.97,0.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,4152214810,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
6005,0.97,0.961,0.936,0,0,0.83,0.96,0.99,0.98,0.98,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VA EASTERN COLORADO HEALTHCARE SYSTEM,1055 CLERMONT STREET,DENVER,CO,80220,DENVER,3033932800,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
6007,0,0.969,0.97,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,9702441329,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
7003,0.959,0.974,0.964,0,0,1,1,1,0.97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,6516,NEW HAVEN,2039325711,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
8002,0,0.955,0.931,0,0.92,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,3029942511,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
9002,0.966,0.966,0.963,0,0,0.97,1,0.99,0.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WASHINGTON DC VA MEDICAL CENTER,50 IRVING STREET N.W.,WASHINGTON,DC,20422,DISTRICT OF COLUMBIA,2027458000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,No
10001,0.488,0.471,0.476,0.283,0.47,0.495,0.485,0.495,0.49,0.49,0.5,0,0,0,0.168,0,0.325,0.37,0.4,0.285,0.32,0.3,0.25,0.258,0.34,0.333,0.47,0,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Acute Care Hospitals,Government - Hospital District or Authority,Yes
10005,0.462,0.451,0.464,0.264,0.48,0.48,0.495,0.495,0.5,0.495,0.5,0,0,0.239,0.338,0,0.365,0.415,0.435,0.335,0.37,0.35,0.227,0.283,0.365,0.365,0.475,0.052,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes
10006,0.464,0.455,0.464,0.259,0.495,0.475,0.495,0.5,0.5,0.495,0.5,0,0.384,0.411,0,0.074,0.31,0.415,0.42,0.34,0.36,0.325,0.25,0.263,0.345,0.328,0.475,0.013,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Acute Care Hospitals,Government - Hospital District or Authority,Yes
10007,0,0.471,0.463,0.266,0.495,0.47,0,0.48,0.46,0.485,0.5,0,0,0,0,0,0.35,0.37,0.425,0.285,0.3,0.295,0.227,0.268,0.35,0.35,0.46,0.121,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,Yes
